Gene	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	p-value(Mesenchymal-line vs. B10)	fold change(Mesenchymal-line vs. B10)	p-value(Proneural-line vs. B10)	fold change(Proneural-line vs. B10)	p-value(Classical-tex vs. TOTBRAIN)	fold change(Classical-tex vs. TOTBRAIN)	p-value(Mesenchymal-tex vs. TOTBRAIN)	fold change(Mesenchymal-tex vs. TOTBRAIN)	p-value(Proneural-tex vs. TOTBRAIN)	fold change(Proneural-tex vs. TOTBRAIN)	
EFR3A	0.917335	-1.02619	0.00637254	2.21161	0.306131	1.30424	2.33306e-005	-3.86857	1.94136e-006	-4.91173	1.28017e-007	-8.54237	
DLEU2L	0.848133	-1.02618	0.0458758	1.35706	0.0486035	1.32856	0.00494823	1.56004	0.000249429	1.83849	5.64664e-007	2.9168	
DNASE1L1	0.646122	-1.02616	4.33261e-005	1.33847	0.00929995	1.17333	0.0238575	1.15623	0.648169	1.02851	0.0162389	1.19645	
LCE3A	0.715803	-1.0261	0.283361	-1.08752	0.385373	-1.06586	0.0832786	1.14752	0.0990164	1.13968	0.00814922	1.2857	
MIR449A	0.876855	-1.02602	0.116661	1.33763	0.455346	1.13701	0.022399	1.54276	0.00451712	1.73807	0.000288571	2.34622	
PMM1	0.627467	-1.02599	4.28141e-006	1.3786	0.227362	1.06888	2.01189e-008	-1.54202	3.43766e-010	-1.69014	2.75573e-014	-2.44503	
AHNAK	0.815042	-1.02596	1.22699e-007	2.26726	0.000927916	1.50995	0.0158025	1.35579	0.0418881	1.28773	0.000557089	-1.69987	
ARL1	0.808777	-1.02595	0.00108722	1.5151	0.016029	1.31863	4.74627e-007	-2.08375	9.74572e-005	-1.67576	1.8869e-006	-2.18579	
CES4A	0.519595	-1.02583	0.0596749	-1.08752	0.295552	-1.04396	2.23364e-009	-1.43358	1.48555e-007	-1.33901	2.59387e-005	-1.27839	
FKBP6	0.812326	-1.02576	0.425392	-1.09855	0.557635	-1.06719	0.842667	-1.02356	0.375921	1.1102	0.212864	1.18642	
MAL	0.795721	-1.02567	8.08468e-007	1.9318	2.41948e-006	1.78871	7.63787e-013	-3.52333	2.20474e-009	-2.44377	1.55198e-006	-2.07846	
MAPT-IT1	0.874557	-1.02553	0.22645	1.23883	0.891965	-1.02265	0.0118289	-1.59179	0.467383	-1.13617	0.109063	-1.39198	
C2orf16	0.793531	-1.02541	0.362286	-1.10107	0.424544	-1.08269	0.474111	-1.07837	0.508385	-1.07215	0.562452	-1.07293	
SP140	0.736469	-1.02519	0.000123047	1.42425	0.100343	1.13682	7.62803e-008	1.76128	7.44728e-006	1.54267	0.00714631	1.30661	
BMPR1A	0.943467	-1.02512	0.099211	1.9093	0.560477	1.23488	0.713582	-1.15125	0.299321	-1.49402	0.000835196	-5.1021	
LINC00491	0.555849	-1.02504	0.0451328	-1.09975	0.837278	-1.00892	0.000597892	1.19062	2.32243e-005	1.2554	7.3771e-005	1.27265	
MAGEB3	0.764684	-1.02501	0.314774	-1.0959	0.806575	-1.02108	0.824148	-1.02028	0.374853	1.08404	0.327633	1.10841	
FAT2	0.865446	-1.02486	0.0106345	1.53554	0.80407	-1.03784	0.46105	-1.12473	0.877582	-1.02476	0.644584	1.08839	
BCMO1	0.726553	-1.02482	0.000349115	1.35915	0.654978	1.03291	4.01431e-009	1.86246	0.629492	1.03779	0.174257	-1.13007	
MARK3	0.764382	-1.02476	0.000280984	1.43931	0.233598	-1.10685	0.393742	1.07966	0.0069282	1.29283	0.566234	1.06112	
TDO2	0.818556	-1.02441	0.000992275	1.51669	0.150451	1.17213	0.152231	-1.18258	0.0430147	-1.27281	0.768446	-1.03994	
GSTM2P1	0.791251	-1.02428	0.0268781	1.25733	0.159777	1.14308	0.00101724	1.4306	0.000249404	1.50493	3.26363e-007	2.0982	
UBTFL1	0.809845	-1.02425	0.436364	-1.08903	0.243236	-1.12899	0.0267818	-1.28632	0.0461594	-1.25216	0.00432355	-1.47016	
KIF18B	0.860034	-1.02424	0.117533	1.26838	0.126169	1.24459	0.0960679	1.28849	4.1736e-005	2.02814	1.34045e-007	3.21072	
MAPK6	0.917736	-1.0242	0.267538	1.32862	0.258672	1.31392	0.000460177	-2.68834	0.202124	-1.38817	0.0272714	-1.96216	
ICOSLG	0.663413	-1.02419	0.000518081	1.26061	0.264737	1.0659	0.021312	-1.15569	0.0269445	-1.14861	0.83467	1.01458	
RN5S484	0.858282	-1.02412	0.551024	-1.09134	0.853845	-1.02572	0.161034	1.23159	0.0179498	1.43755	0.0921539	1.33801	
SIM1	0.827702	-1.024	0.474435	-1.08949	0.636713	-1.05467	0.527413	-1.07859	0.386923	1.10948	0.375523	1.13078	
GOSR1	0.877529	-1.0239	0.015321	1.53443	0.062342	1.35513	0.496036	1.12158	0.71634	1.06297	0.507049	-1.1378	
UBE2Z	0.81426	-1.02389	0.00911387	1.35554	0.0157563	1.30122	0.133599	-1.1832	0.0159957	-1.32125	0.00401251	-1.48087	
PSMC4	0.842798	-1.02381	0.0243264	1.35749	0.645982	1.058	0.851118	1.0247	0.604537	-1.06978	0.0580584	-1.34077	
XPNPEP3	0.855952	-1.02369	0.00273042	1.58026	0.130962	1.22767	0.480177	-1.10536	0.0573393	-1.31909	9.32153e-006	-2.36643	
IL2RA	0.875624	-1.02357	0.595619	-1.09061	0.962982	-1.00716	0.0497759	1.39175	0.0246253	1.46609	2.74099e-005	2.51625	
CELP	0.861688	-1.02355	0.540497	-1.09399	0.683708	-1.05789	0.96039	-1.00729	0.662203	1.06612	0.585999	1.09663	
GCOM1	0.687502	-1.02354	2.62965e-005	1.36489	0.0232901	1.15194	0.957741	1.00336	0.121741	1.1051	8.91588e-005	-1.38786	
TSPY8	0.811377	-1.02351	0.383231	-1.0981	0.666864	-1.0443	0.846179	1.02091	0.11346	1.18817	0.0459601	1.28948	
ALK	0.857789	-1.0235	0.508488	-1.09881	0.0139399	1.41439	0.639947	1.0688	0.152947	-1.22934	5.7764e-008	3.20266	
TRIM10	0.791522	-1.02327	0.374034	-1.08901	0.679754	-1.03783	0.713688	1.03562	0.165842	1.14363	0.014931	1.32549	
ZNF557	0.815785	-1.02326	0.0315104	1.27359	0.926659	1.00943	0.0190374	1.30433	0.310327	1.11697	0.00141297	-1.54539	
OR2L5	0.856121	-1.02323	0.544375	-1.08801	0.373898	-1.12419	3.03235e-005	-1.96389	0.0366927	-1.35094	0.846234	1.03156	
SAC3D1	0.868812	-1.02321	0.556137	-1.09395	0.802015	-1.03663	0.668658	-1.06738	0.296415	1.17387	0.543449	1.113	
LOC100287896	0.779849	-1.02316	0.000942989	1.38573	0.105545	1.15022	4.40778e-007	-1.76916	4.68008e-005	-1.52611	5.59519e-007	-1.91537	
PATL2	0.751526	-1.02299	0.00483053	1.26765	0.404898	1.06404	0.000731457	1.34064	1.06828e-006	1.60801	7.07002e-006	1.62891	
LOC100507367	0.889957	-1.0229	0.000737833	1.95076	0.144157	1.28577	0.000114584	2.19953	0.0146113	1.58527	0.546655	-1.13333	
HLA-DOA	0.755713	-1.02276	0.256081	-1.09517	0.584737	-1.04175	0.00033399	1.37424	0.0416744	1.18186	8.21994e-007	1.75275	
ZER1	0.726698	-1.02268	0.20821	-1.0937	0.630228	1.03245	1.26454e-011	-2.08634	6.97652e-015	-2.69482	3.46259e-012	-2.44999	
PGA4	0.776826	-1.02265	0.302092	-1.09426	0.676034	-1.03472	0.398227	1.07629	0.290371	1.09673	0.021375	1.27194	
SERINC3	0.891549	-1.02246	0.102737	1.34684	0.488011	1.12424	0.0777799	-1.38139	0.00102969	-1.90235	0.00335153	-1.91742	
FAM129C	0.798397	-1.02239	0.369478	-1.08953	0.510892	-1.06082	0.8903	-1.01318	0.447953	1.07505	0.122157	1.1887	
LOC100506955	0.829443	-1.02238	0.41395	-1.09682	0.568134	-1.06258	0.613374	1.05861	0.233641	1.14522	0.0101066	1.42429	
CFHR3	0.751694	-1.02227	0.254257	-1.09179	0.606161	-1.03781	0.770717	-1.02247	0.804277	1.01907	0.754497	1.02792	
KANK2	0.700135	-1.02227	3.54349e-007	1.49625	0.255532	1.07018	3.92597e-006	1.4183	9.86855e-007	1.46234	0.993115	-1.00062	
PPP1R14A	0.867193	-1.02215	0.0409352	1.35518	0.481951	-1.10022	1.11347e-006	-2.37526	0.00087461	-1.69183	0.00617557	-1.62245	
CACNA2D3	0.938192	-1.02211	0.0378329	1.94589	0.906808	-1.03469	0.00179258	-2.85757	1.36309e-007	-8.13633	4.45713e-007	-9.65938	
LNX1	0.856579	-1.02208	0.00995258	1.43507	0.266101	1.15054	0.00234884	-1.54693	0.0211297	-1.3763	0.00372712	-1.61077	
INIP	0.674427	-1.02205	6.44224e-005	1.29853	0.0362155	1.12346	1.22875e-006	-1.40553	1.75399e-006	-1.3955	0.000324608	-1.30203	
NTSR1	0.847717	-1.02197	0.0258143	1.33412	0.0845301	1.22966	0.951831	-1.00752	0.730002	1.04375	0.0759264	1.29811	
LOC339622	0.804792	-1.02194	0.354196	-1.0939	0.438691	-1.07312	0.30876	1.10378	0.00618192	1.3243	0.00091064	1.49979	
TMEM79	0.808447	-1.02188	0.387983	-1.08864	0.854186	-1.01709	0.275648	1.11366	0.048933	1.22016	0.061841	1.24255	
MIR4693	0.764148	-1.02174	0.235065	-1.09888	0.384038	-1.06695	0.67268	1.03376	0.0523339	1.17025	0.701526	1.03538	
GJA5	0.79918	-1.0215	0.337742	-1.09247	0.541124	-1.05434	0.212553	-1.12258	0.733993	-1.03163	0.104339	1.19194	
COPB1	0.894908	-1.02144	0.000427985	1.99444	0.0471264	1.40553	0.689552	-1.07288	0.585821	1.10083	0.133139	-1.36462	
PGLYRP4	0.817077	-1.02134	0.351256	-1.0984	0.578932	-1.05383	0.395568	-1.08919	0.673734	1.04304	0.102583	1.21254	
RAD9A	0.830844	-1.02113	0.0457085	1.2481	0.93918	-1.00774	0.0548837	1.23661	0.00362809	1.39863	0.000146164	1.70501	
MORC3	0.911635	-1.02111	0.222395	1.29021	0.651709	-1.09188	0.045972	-1.53073	0.154239	-1.34836	0.00268232	-2.16582	
SEPT11	0.915321	-1.02107	0.00662225	1.8619	0.611558	1.10859	0.761992	-1.06728	0.713874	-1.08205	0.0184524	-1.84606	
MAGEA6	0.860855	-1.02103	0.480463	-1.09651	0.755791	-1.0389	0.899291	1.0166	0.173152	1.19714	0.0934493	1.29432	
TMEM141	0.864404	-1.02096	0.47467	-1.10021	0.694634	-1.05053	0.212667	-1.1829	0.92866	1.01198	0.728113	-1.0549	
ZNF197-AS1	0.85156	-1.02094	0.0243787	1.32991	0.14012	1.18748	0.538933	1.07762	0.157451	-1.19051	0.0215536	-1.40035	
MIR4540	0.85369	-1.0209	0.456346	-1.09629	0.524947	-1.07668	0.306041	1.13525	0.00404099	1.46126	3.15625e-005	1.99009	
CFHR1	0.794739	-1.02079	0.315126	-1.09169	0.719513	-1.02978	0.83755	-1.01792	0.73046	1.03031	0.00631718	1.33799	
CGN	0.734586	-1.02074	0.197586	-1.09046	0.170808	-1.09084	0.994927	-1.00042	0.145804	1.10312	0.031951	1.18618	
C17orf79	0.741333	-1.02057	0.000174424	1.33201	0.388555	1.05677	0.176251	-1.09714	0.0574183	-1.1414	0.000627416	-1.34328	
PRODH	0.786653	-1.02053	0.26383	-1.09727	0.678511	-1.03269	0.378651	1.07556	0.061967	-1.17123	0.181137	-1.13754	
LOC389705	0.853984	-1.02044	0.00191532	1.50119	0.112666	1.20203	0.000132621	-1.68756	1.15296e-005	-1.8718	8.03748e-005	-1.87555	
HOXB7	0.911198	-1.02035	0.000503256	2.14939	0.0431533	1.478	0.609258	1.10668	0.0357318	1.53958	0.0383901	1.63362	
CSNK1G2-AS1	0.827691	-1.0203	0.344569	-1.10109	0.76746	-1.02861	0.666924	-1.04455	0.185191	1.14567	0.217965	1.15686	
MTMR2	0.847463	-1.02026	0.00896211	1.37232	0.72077	-1.03927	0.00162817	-1.48018	0.426329	1.09562	0.257126	-1.16305	
C15orf39	0.641946	-1.02012	8.14777e-007	1.3333	0.362324	1.04134	0.000112346	1.2291	0.00523675	1.15014	5.9012e-005	1.28468	
LOC285401	0.716288	-1.02009	0.159645	-1.08941	0.520077	-1.03711	0.249356	1.07225	0.000813846	1.24739	0.00796778	1.21524	
JKAMP	0.937714	-1.02006	0.115582	1.56445	0.314189	1.30542	0.1158	-1.56401	0.0114536	-2.1042	0.00018938	-3.88228	
SYCN	0.817375	-1.01978	0.35802	-1.0898	0.889247	-1.01227	0.00119878	1.39046	0.00549373	1.31741	4.53892e-006	1.81032	
C17orf89	0.853526	-1.01963	0.420054	-1.09802	0.837557	-1.02255	0.133816	-1.19273	0.43643	-1.09441	0.32919	-1.13997	
NANOG	0.871068	-1.01955	0.0802112	1.26441	0.1773	1.18385	1.70406e-005	1.93901	0.00142638	1.57645	0.00616077	1.55403	
C17orf102	0.804478	-1.01951	0.328778	-1.08779	0.372314	-1.07506	0.000908816	-1.36623	0.0147706	-1.2452	0.00164267	-1.40304	
PGA5	0.837706	-1.01937	0.413505	-1.08799	0.739871	-1.03265	0.586185	1.05756	0.223036	1.13489	0.0371044	1.292	
IGKV1D-17	0.865974	-1.01933	0.49774	-1.08824	0.736706	-1.04021	0.262758	1.15098	0.395024	1.11217	0.0117367	1.46489	
SPECC1L	0.91727	-1.01929	0.0104661	1.72581	0.131032	1.3397	0.959608	-1.01026	0.0295486	-1.57863	2.32926e-005	-3.16947	
CCDC69	0.792595	-1.01919	0.235834	-1.09959	0.630733	-1.03659	0.974254	-1.00256	0.366218	-1.07466	0.674459	-1.03919	
FLJ46020	0.826585	-1.01918	0.00555358	1.32496	0.181945	1.12899	0.117716	1.16379	0.0389359	1.2255	0.00280958	1.42466	
FBXL22	0.861958	-1.01911	0.440222	-1.09689	0.564857	-1.06703	0.741231	-1.04019	0.911576	1.01333	0.786329	1.03804	
LOC100131067	0.765711	-1.01901	0.000975669	1.28496	0.0575057	1.13626	0.000744833	1.2938	0.000878283	1.2884	0.192055	-1.1115	
C11orf92	0.86895	-1.01899	0.0251006	1.33909	0.890113	-1.0164	0.28841	1.14321	0.21116	1.17143	0.593448	1.08022	
FCER2	0.851891	-1.01893	0.399014	-1.09782	0.659483	-1.04683	0.654292	-1.05058	0.287504	1.12537	0.0220748	1.35539	
PIRT	0.946247	-1.0189	0.258338	1.41555	0.241526	1.4046	0.248089	1.42657	0.832082	1.06664	6.69729e-007	-8.85763	
PIP4K2C	0.731902	-1.01889	6.20856e-007	1.452	0.000702669	1.23504	2.90182e-014	-2.22354	5.58482e-015	-2.34242	2.78623e-013	-2.32693	
CREB3L1	0.856814	-1.01888	0.000410413	1.56437	0.0803672	1.21184	0.283208	-1.13095	0.764615	1.03461	0.513537	-1.08978	
TSPAN8	0.581122	-1.01885	0.0223534	-1.09236	0.130608	-1.05521	4.85899e-019	-2.10049	1.48383e-017	-1.92746	9.15241e-016	-1.91731	
IL20	0.730447	-1.01885	0.12951	-1.09602	0.448535	-1.0435	0.0736513	1.11518	0.00650483	1.18771	0.0030465	1.24474	
AANAT	0.867874	-1.0188	0.460661	-1.09512	0.871455	-1.01888	0.927292	-1.01125	0.109465	1.22207	0.0119803	1.45577	
TRIM53AP	0.954101	-1.01876	0.0271852	2.25855	0.831622	-1.07352	0.55083	-1.23572	0.998884	1.00049	0.886602	1.05999	
RNF112	0.840661	-1.01875	0.406275	-1.08821	0.425514	-1.07944	0.239127	-1.1281	0.710176	1.03837	0.0100028	1.37529	
SLAIN2	0.902256	-1.0187	0.000322679	1.9451	0.0385731	1.39683	0.608201	1.08858	0.610031	1.08811	0.622552	1.09865	
HIST1H2BI	0.936004	-1.0187	0.0983079	1.53361	0.179516	1.38369	0.165305	1.42822	3.6618e-007	5.07555	3.92914e-007	6.47757	
GAGE12J	0.851644	-1.01868	0.4114	-1.09366	0.788089	-1.02786	0.398203	1.09649	0.122006	1.18653	0.0751148	1.2571	
LOC100271722	0.846204	-1.01867	0.0242189	1.2787	0.160734	1.15078	0.387267	1.09513	0.000339541	1.52002	0.0401283	1.29252	
PRPH	0.860098	-1.01861	0.0177986	1.32965	0.0143653	1.32102	0.675284	1.04924	0.00448074	1.4179	0.0010805	1.60732	
ABLIM3	0.939552	-1.01854	0.201277	1.41039	0.795686	1.06697	0.148832	-1.47693	0.0352198	-1.78684	3.45995e-006	-5.61178	
PPY	0.861763	-1.01854	0.446808	-1.09236	0.895119	-1.01447	0.784496	-1.03212	0.296055	1.1296	5.63814e-006	2.07112	
SRRM3	0.875975	-1.01835	0.498978	-1.09046	0.85621	-1.02204	0.0319145	-1.32944	0.362942	-1.12401	0.753653	-1.04736	
PRKCDBP	0.880233	-1.01828	0.00215222	1.55006	0.00463504	1.45734	0.437938	-1.10809	0.976505	1.00388	0.271085	1.18415	
SCAF1	0.839958	-1.01825	0.392792	-1.08797	0.945625	1.00632	0.133762	-1.16167	0.262915	-1.11733	0.437135	1.09245	
GTF2A2	0.877629	-1.01812	0.0386395	1.31513	0.182497	1.17698	0.947705	-1.00841	0.66311	-1.0573	0.278319	-1.17523	
METTL15	0.879097	-1.01808	0.0305405	1.33701	0.328459	1.12729	0.796686	1.03381	0.460122	1.10046	0.0137134	-1.47228	
THNSL1	0.764047	-1.01792	8.13735e-005	1.33996	0.00289946	1.21699	7.36125e-011	-1.87625	3.89942e-010	-1.79441	6.09402e-013	-2.42757	
KLF1	0.852626	-1.01781	0.361606	-1.10033	0.733746	-1.03397	0.605923	1.05528	0.117292	1.18107	0.0119015	1.37588	
FGB	0.790439	-1.0177	0.226292	-1.09258	0.583371	-1.03818	0.646086	-1.03381	0.835779	1.0151	0.639055	1.03999	
LGALS9C	0.852457	-1.01759	0.00189683	1.41453	0.904915	1.01163	0.000118191	1.56895	0.00257053	1.3979	1.70589e-006	2.0079	
HM13-AS1	0.895887	-1.01746	0.510485	-1.10043	0.588603	-1.07688	0.71175	1.05506	0.581943	1.08326	0.347882	1.17144	
SYNJ1	0.905765	-1.01744	0.144688	1.26823	0.349809	1.15267	2.5492e-009	-3.76199	2.07452e-011	-5.16089	1.31798e-011	-6.90034	
MYOD1	0.874143	-1.01741	0.446003	-1.09573	0.878566	-1.01735	0.0709055	-1.24817	0.771205	1.03535	0.150114	1.22372	
MLPH	0.801146	-1.01729	0.224103	-1.09607	0.586292	-1.03907	0.739238	-1.02514	0.111597	1.12878	0.251514	1.10491	
ABCG5	0.845782	-1.01727	0.367761	-1.09135	0.74167	-1.03044	0.430629	-1.07936	0.493893	1.06845	0.3287	1.11583	
ZNF699	0.920265	-1.01689	0.0120063	1.62568	0.731704	-1.06108	0.875229	-1.02919	0.362861	-1.18282	1.65396e-005	-2.92867	
RTBDN	0.828894	-1.01685	0.289785	-1.0947	0.460889	-1.06092	0.187206	-1.12	0.909145	-1.00971	0.231745	1.12563	
IGKV3D-7	0.921752	-1.01684	0.245765	1.24442	0.407621	1.1575	0.000484568	2.06014	0.055311	1.44528	2.91526e-006	3.39926	
SPEM1	0.872573	-1.01661	0.434425	-1.0924	0.735133	-1.03657	0.941296	-1.00832	0.134825	1.18701	0.194496	1.18642	
SLC35B3	0.786968	-1.01658	3.52817e-012	2.08677	6.91407e-005	1.33291	0.137849	1.10596	0.000449898	1.29731	0.000734609	1.3322	
PRDM6	0.854864	-1.01644	4.99292e-007	1.85303	0.695898	1.03669	0.214701	1.13061	0.128348	1.16352	0.219113	1.15069	
FERMT1	0.96694	-1.01642	0.0569403	2.32803	0.304606	1.52237	0.0150147	3.00765	6.92659e-006	10.1474	0.00161686	5.5177	
TEX101	0.829908	-1.01624	0.256367	-1.0988	0.564584	-1.04573	0.822461	-1.0186	0.698405	1.03237	0.114719	1.16504	
PGGT1B	0.928283	-1.01621	0.115841	1.36934	0.521576	1.12602	0.0147695	1.65234	0.158073	1.32447	0.112001	-1.4434	
TDRD12	0.831771	-1.01621	0.291765	-1.0922	0.439297	-1.06261	0.242051	-1.10305	0.69201	-1.03342	0.654308	-1.04385	
CCL25	0.851617	-1.0162	0.328766	-1.09707	0.608752	-1.04656	0.411237	1.08087	0.157383	1.14491	0.00433822	1.39445	
C10orf82	0.873934	-1.01612	0.411399	-1.09548	0.781863	-1.02925	0.564535	-1.06585	0.824048	1.02486	0.2615	1.15564	
MIR196B	0.936592	-1.01607	0.0485762	1.5643	0.0203124	1.65335	0.821803	1.05069	0.356819	1.22589	0.132069	1.47557	
GINS3	0.820768	-1.016	0.00224684	1.2894	0.306017	1.07756	1.87325e-007	1.6681	0.620572	1.03879	0.00106689	1.37464	
GALNT12	0.899624	-1.01597	0.0596353	1.30619	0.0324552	1.33445	0.75842	-1.04326	0.270102	1.16569	0.00020356	1.94664	
GNA11	0.870831	-1.01591	6.96437e-005	1.62607	0.107265	1.17943	0.00377349	-1.39249	0.000201524	-1.5622	0.0386804	-1.30116	
POU6F2-AS1	0.886068	-1.01574	0.445086	-1.09595	0.481087	-1.0829	0.96651	1.00503	0.936633	1.00954	0.821096	1.03168	
TMC3	0.844363	-1.01551	0.283872	-1.09733	0.688377	-1.03303	0.603082	-1.04575	0.503463	1.05934	0.0783838	1.19615	
PABPC1L2B	0.849737	-1.01548	0.320703	-1.09299	0.449644	-1.06567	6.35449e-008	-1.8726	4.41951e-005	-1.52247	0.000107697	-1.57321	
XKR3	0.816052	-1.01537	0.234977	-1.09013	0.721152	-1.02448	0.189429	1.10033	0.846719	1.01398	0.290453	-1.09251	
FOXN1	0.872212	-1.01514	0.386259	-1.0933	0.678393	-1.04087	0.97686	1.00297	0.134648	1.16881	0.0142845	1.35627	
LOC100302640	0.89568	-1.01514	0.00995342	1.40842	0.0416789	1.2836	1.22608e-006	-2.12212	1.40216e-007	-2.34001	2.17767e-010	-3.82853	
IRF1	0.821418	-1.0151	1.51123e-006	1.53798	0.10356	1.12088	2.38122e-005	1.43318	0.000257113	1.34811	0.0553632	1.18051	
ZNF841	0.904543	-1.01504	0.09561	1.26201	0.0866009	1.25346	0.000329453	1.73017	0.000882182	1.64771	0.00749592	1.56492	
ZBED5	0.906303	-1.015	0.0103899	1.45598	0.366185	1.12621	0.447841	-1.11146	0.423325	-1.11799	0.0165427	-1.49603	
LIN7C	0.911093	-1.01499	0.00742419	1.51545	0.301212	1.1544	0.00409672	-1.56828	0.000346288	-1.79357	4.28686e-006	-2.54994	
SLC30A4	0.916213	-1.01496	2.81165e-005	2.13004	0.071957	1.30935	9.70733e-007	-2.55872	4.40803e-007	-2.67273	1.04127e-006	-2.94584	
LARP6	0.725315	-1.01495	2.52413e-006	1.30375	0.00599055	1.13632	2.99413e-008	-1.40398	0.000642222	-1.19075	0.000594252	-1.2252	
OGFOD2	0.831443	-1.0148	0.220798	-1.09825	0.984576	-1.00138	0.263561	1.08914	0.000902681	1.31798	3.92991e-005	1.51688	
C2orf66	0.964909	-1.0148	0.000280791	4.44209	0.366619	1.36812	0.00261135	3.28937	0.0929774	1.87627	0.956706	1.02319	
FAM179B	0.952537	-1.01478	0.111631	1.55089	0.882525	1.03833	0.00392425	-2.30866	3.68932e-006	-4.54237	3.3789e-008	-9.7275	
FCRL5	0.870827	-1.01459	0.376017	-1.0908	0.59496	-1.05023	0.911315	1.01092	0.238817	1.12327	0.0194502	1.31757	
ATXN2L	0.829712	-1.01448	0.238376	-1.09124	0.643992	1.03246	0.145564	1.11455	0.147032	-1.1141	0.00464437	1.29223	
C8B	0.860278	-1.01443	0.349777	-1.08761	0.405097	-1.07293	0.659206	1.04017	0.100146	1.16183	0.0226776	1.27798	
UBE2R2	0.921083	-1.01441	0.122912	1.28281	0.0454911	-1.36167	0.261263	-1.19679	0.219384	-1.21751	0.107404	-1.35077	
RDH12	0.825577	-1.01427	0.213192	-1.09285	0.454035	-1.0512	0.16429	-1.10465	0.463233	-1.05324	0.180982	1.11673	
SRRM2	0.653906	-1.01423	0.00959312	-1.09917	0.0175985	-1.08431	7.77411e-010	1.35184	1.97917e-018	1.93006	3.13923e-021	2.59626	
LOC100130954	0.817707	-1.01417	0.193816	-1.09212	0.701987	-1.02444	0.0460185	1.14797	0.0279828	1.16545	0.00248374	1.28764	
PGA3	0.859412	-1.01408	0.300872	-1.09444	0.772038	-1.02391	0.299545	1.09472	0.183471	1.12381	0.0139945	1.2948	
LOC100506813	0.922885	-1.01407	0.0772131	1.33233	0.131122	1.25791	0.497871	1.11359	0.239028	1.20727	0.634762	1.09078	
OVCH2	0.859212	-1.01395	0.266159	-1.10087	0.860166	-1.01431	0.654149	-1.03913	0.942373	-1.0062	0.81568	-1.0233	
PTTG2	0.872291	-1.0139	0.0186527	1.26112	0.0676879	1.18139	0.0445395	1.21601	0.00134558	1.39057	0.00993381	1.3451	
TSPAN5	0.944727	-1.01387	0.0147456	1.74839	0.52667	-1.13927	0.000472958	-2.33201	3.86992e-005	-2.83102	1.22418e-008	-6.89134	
C10orf12	0.933622	-1.01387	0.634602	-1.09006	0.408467	-1.15252	0.177688	-1.28133	0.11158	-1.34235	0.0166494	-1.69207	
BATF	0.906417	-1.01382	0.499652	-1.09051	0.687737	-1.04971	0.309153	-1.14017	0.562454	1.07709	0.193186	1.21518	
KRT28	0.877472	-1.01381	0.364855	-1.09298	0.494692	-1.06501	0.123058	-1.16571	0.719541	-1.03565	0.521577	-1.07505	
TRBV5-5	0.855489	-1.01378	0.278048	-1.09436	0.691042	-1.03136	0.806311	-1.0204	0.507566	1.05627	0.0167289	1.26977	
IDH3G	0.875628	-1.01373	0.0116226	1.28966	0.907882	-1.01047	0.559812	-1.0574	0.0216634	-1.25769	0.689918	-1.04501	
EME1	0.899837	-1.01373	0.0711777	1.24628	0.218724	1.14958	0.00900794	1.38917	8.78364e-007	2.06609	6.86125e-008	2.62275	
TMBIM1	0.906425	-1.01359	0.502902	-1.08828	0.295951	1.13327	0.640706	-1.06058	0.00543942	-1.45326	0.00768076	-1.50935	
PRIC285	0.908386	-1.01355	0.0218138	1.35982	0.957488	1.00646	0.08696	1.25207	0.118811	1.22627	0.197249	1.21341	
PRDM2	0.923243	-1.01351	0.005384	1.57461	0.024787	1.40096	0.000129563	-1.94301	0.0022175	-1.65909	0.0105906	-1.61018	
ATP6V1G3	0.833034	-1.01334	0.222845	-1.08867	0.761648	-1.01989	0.132927	-1.11118	0.743633	1.02278	0.505126	1.0546	
CNIH3	0.910982	-1.01327	0.00792949	1.43964	0.00242118	1.4918	0.550144	1.08049	0.0572277	1.28827	0.00685348	1.53647	
CCDC89	0.932911	-1.0132	0.0594616	1.39307	0.120072	1.29082	0.144506	1.28858	0.00366143	1.70477	0.127058	1.35886	
IKBIP	0.847583	-1.01311	0.000338145	1.34674	0.179489	1.10008	0.00395761	1.25834	1.24298e-007	1.65883	1.38881e-006	1.66545	
LURAP1L	0.899289	-1.01306	4.33049e-006	1.8652	0.00612658	1.36301	0.000540647	-1.53945	0.0071505	-1.37928	2.38905e-005	-1.90023	
ANK1	0.902343	-1.01296	0.00139734	1.49389	0.163316	1.16603	6.2268e-005	-1.69936	0.000648516	-1.5433	0.000235731	-1.73249	
HOXC6	0.963706	-1.01277	8.9118e-005	3.93736	0.00168778	2.67878	0.53992	1.20666	0.0561615	1.82559	0.233443	1.53025	
PIGH	0.933643	-1.01266	0.150535	1.27407	0.962716	-1.00732	0.00332846	-1.68811	3.48345e-005	-2.2199	1.61356e-008	-4.25424	
VAV1	0.846824	-1.01262	0.242154	-1.0878	0.51164	-1.04516	0.0952526	1.12919	0.0735206	1.13974	0.00076925	1.35644	
GALK1	0.910851	-1.01262	0.485464	-1.08971	0.76908	-1.03456	0.820753	-1.02819	0.171525	1.18577	0.195969	1.20413	
GCG	0.867424	-1.01256	0.25061	-1.09984	0.510641	-1.05231	0.907903	-1.00952	0.61307	1.04238	0.565538	1.05601	
